"pair ID","label","premise","hypothesis","important words in the premise","important words in the hypothesis"
"2677109430.jpg#1r1n","neutral","This church choir sings to the masses as they sing joyous songs from the book at a church .","The church has cracks in the ceiling .","-1","cracks 3 ceiling 6"
"2677109430.jpg#1r1e","entailment","This church choir sings to the masses as they sing joyous songs from the book at a church .","The church is filled with song .","sings 3 songs 11 church 17","filled 3 song 5 church 1"
"2677109430.jpg#1r1c","contradiction","This church choir sings to the masses as they sing joyous songs from the book at a church .","A choir singing at a baseball game .","sings 3 at 15 church 17","baseball 5 singing 2"
"6160193920.jpg#4r1n","neutral","A woman with a green headscarf , blue shirt and a very big grin .","The woman is young .","woman 1","woman 1 young 3"
"6160193920.jpg#4r1e","entailment","A woman with a green headscarf , blue shirt and a very big grin .","The woman is very happy .","woman 1 grin 13","woman 1 happy 4"
"6160193920.jpg#4r1c","contradiction","A woman with a green headscarf , blue shirt and a very big grin .","The woman has been shot .","woman 1 grin 13","woman 1 shot 4"
"4791890474.jpg#3r1e","entailment","An old man with a package poses in front of an advertisement .","A man poses in front of an ad .","man 2 poses 6 front 8 advertisement 11","man 1 poses 2 front 4  ad 7"
"4791890474.jpg#3r1n","neutral","An old man with a package poses in front of an advertisement .","A man poses in front of an ad for beer .","-1","for 8 beer 9"
"4791890474.jpg#3r1c","contradiction","An old man with a package poses in front of an advertisement .","A man walks by an ad .","man 2 poses 6","man 1 walks 2"
"2832076014.jpg#2r1n","entailment","A land rover is being driven across a river .","A Land Rover is splashing water as it crosses a river .","rover 2 across 6 river 8","rover 2 splashing 4 crosses 8 river 10"
"2832076014.jpg#2r1e","entailment","A land rover is being driven across a river .","A vehicle is crossing a river .","land 1 rover 2 driven 5 across 6 river 8","vehicule 1 crossing 3 river 5"
"2832076014.jpg#2r1c","contradiction","A land rover is being driven across a river .","A sedan is stuck in the middle of a river .","land 1 rover 2 driven 5","sedan 1 stuck 3"
"1034985636.jpg#3r1c","contradiction","A man playing an electric guitar on stage .","A man playing banjo on the floor .","man 1 guitar 5 stage 7","man 1 banjo 3 floor 6"
"1034985636.jpg#3r1e","entailment","A man playing an electric guitar on stage .","A man playing guitar on stage .","man 1 playing 2 guitar 5 stage 7","man 1 playing 2 guitar 3 stage 5"
"1034985636.jpg#3r1n","neutral","A man playing an electric guitar on stage .","A man is performing for cash .","man 1 playing 2","man 1 performing 3 for 4 cash 5"
"3856149623.jpg#1r1e","entailment","A blond-haired doctor and her African american assistant looking threw new medical manuals .","A doctor is looking at a book","doctor 2 looking 8 manuals 12","doctor 1 looking 3 book 6"
"3856149623.jpg#1r1c","contradiction","A blond-haired doctor and her African american assistant looking threw new medical manuals .","A man is eating pb and j","looking 8","eating 3"
"3856149623.jpg#1r1n","neutral","A blond-haired doctor and her African american assistant looking threw new medical manuals .","A doctor is studying","-1","studying 3"
"3827316480.jpg#0r1c","contradiction","One tan girl with a wool hat is running and leaning over an object , while another person in a wool hat is sitting on the ground .","A boy runs into a wall","girl 2 running 8 sitting 23","boy 1 runs 2"
"3827316480.jpg#0r1e","entailment","One tan girl with a wool hat is running and leaning over an object , while another person in a wool hat is sitting on the ground .","A tan girl runs leans over an object","tan 1 girl 2 running 8 leaning 10 over 11 object 13","tan 1 girl 2 runs 3 leans 4 over 5 object 7"
"3827316480.jpg#0r1n","neutral","One tan girl with a wool hat is running and leaning over an object , while another person in a wool hat is sitting on the ground .","A man watches his daughter leap","girl 2","watches 2 daughter 4 leap 5"
"2946464027.jpg#0r1n","neutral","A young family enjoys feeling ocean waves lap at their feet .","A young man and woman take their child to the beach for the first time .","family 2 ocean 5","man 2 woman 4 beach 10 for 11 first 13 time 14"
"2946464027.jpg#0r1c","contradiction","A young family enjoys feeling ocean waves lap at their feet .","A family is out at a restaurant .","family 2 ocean 5 waves 6","family 1 restaurant 6"
"2946464027.jpg#0r1e","entailment","A young family enjoys feeling ocean waves lap at their feet .","A family is at the beach .","family 2 ocean 5 waves 6","family 1 beach 5"
"3572548523.jpg#4r1e","entailment","A couple walk hand in hand down a street .","A couple is walking together .","couple 1 walk 2 hand 3 in 4 hand 5","couple 1 walking 3 together 4"
"3572548523.jpg#4r1n","neutral","A couple walk hand in hand down a street .","The couple is married .","-1","couple 1 married 3"
"3572548523.jpg#4r1c","contradiction","A couple walk hand in hand down a street .","A couple is sitting on a bench .","couple 1 walk 2 ","couple 1 sitting 3"
"4460943467.jpg#0r1c","contradiction","3 young man in hoods standing in the middle of a quiet street facing the camera .","Three people sit by a busy street bareheaded .","3 0 man 2 standing 5 quiet 11 street 12","Three 0 people 1 sit 2 busy 5 street 6 "
"4460943467.jpg#0r1n","entailment","3 young man in hoods standing in the middle of a quiet street facing the camera .","Three hood wearing people pose for a picture .","3 0 man 2 hoods 4 facing 13 camera 15","Three 0 hood 1 people 3 pose 4 for 5 picture 7"
"4460943467.jpg#0r1e","entailment","3 young man in hoods standing in the middle of a quiet street facing the camera .","Three hood wearing people stand in a street .","3 0 man 2 hoods 4 standing 5 street 12","Three 0 hood 1 people 3 stand 4 street 7"
"2096485764.jpg#0r1e","entailment","A man reads the paper in a bar with green lighting .","The man is inside .","man 1 in 5 bar 7","man 1 inside 3"
"2096485764.jpg#0r1n","neutral","A man reads the paper in a bar with green lighting .","The man is reading the sportspage .","man 1 paper 4","man 1 sportspage 5"
"2096485764.jpg#0r1c","contradiction","A man reads the paper in a bar with green lighting .","The man is climbing a mountain .","man 1 reads 2 bar 7","man 1 climbing 3 mountain 5"
"4679111230.jpg#2r1n","neutral","Three firefighter come out of subway station .","Three firefighters putting out a fire inside of a subway station .","Three 0 firefighter 1","putting 2 out 3 fire 5"
"4679111230.jpg#2r1e","entailment","Three firefighter come out of subway station .","Three firefighters coming up from a subway station .","Three 0 firefighter 1 come 2 out 3 subway 5 station 6","Three 0 firefighters 1 coming 2 up 3 subway 6 station 7"
"4679111230.jpg#2r1c","contradiction","Three firefighter come out of subway station .","Three firefighters playing cards inside a fire station .","Three 0 firefighter 1 come 2 out 3 subway 5 station 6","Three 0 firefighters 1 playing 2 inside 4 fire 6 station 7"
"2892843393.jpg#1r1e","entailment","A person wearing a straw hat , standing outside working a steel apparatus with a pile of coconuts on the ground .","A person is near a pile of coconuts .","person 1 with 13 pile 15 oconuts 17","person 1 near 3 pile 5 coconuts 7"
"2892843393.jpg#1r1n","neutral","A person wearing a straw hat , standing outside working a steel apparatus with a pile of coconuts on the ground .","A person is selling coconuts .","-1","selling 3"
"2892843393.jpg#1r1c","contradiction","A person wearing a straw hat , standing outside working a steel apparatus with a pile of coconuts on the ground .","A person is burning a straw hat .","person 1 wearing 2 straw 4 hat 5","person 1 burning 3 straw 5 hat 6"
"4923271886.jpg#2r1c","contradiction","Male in a blue jacket decides to lay in the grass .","The guy in yellow is rolling on the grass","Male 0 blue 3 jacket 4 lay 7","yellow 3 rolling 5"
"4923271886.jpg#2r1e","entailment","Male in a blue jacket decides to lay in the grass .","The guy wearing a blue jacket is laying on the green grass","Male 0 blue 3 jacket 4 lay 7 grass 10","guy 1 blue 4 jacket 5 laying 7 grass 11"
"4923271886.jpg#2r1n","neutral","Male in a blue jacket decides to lay in the grass .","The guy wearing a blue jacket is laying on the green grass taking a nap .","-1","taking 12 nap 14"
"3551170666.jpg#3r1c","contradiction","A golden retriever nurses puppies .","A cat nurses puppies","golden 1 retriever 2 nurses 3 puppies 4","cat 1 nurses 2 puppies 3"
